sentence,label
Regex is your friend.,1
I'm an idiot.,0
"My bad, uploaded the wrong patch.",0
"Wow, that was some bad copy/paste work.",0
"Sorry, you're right.",0
"Mac, looks like the tests are failing (especially TestHarFileSystem).",0
That's my bad.,0
Damn.,0
Thanks for providing the patch.,1
This is a great suggestion.,1
"why on earth would it match anything, you have not even touched the Apache install.",0
My bad.,0
Sorry [~fiberlijun] - havent had a chance to look at it yet.,0
"If that would be the case, this would be bad design.",0
"897392
Thanks Sharan !
",1
Thanks Jukka for fixing this :) (sorry),0
"Thanks, Jeff!",1
"> then we don't save IO by limiting the buffer size to 1 KB

I'm confused by this.",0
"The patch should be relatively trivial, but like I said, I have no idea if there is other important stuff going on there or not.",0
"Thanks for the very clear explanation of the needed change, Dag.",1
"s/[~apurtell]/[~lhofhansl]/

Sorry guys.",0
Sorry.,0
"Yes please - pull request away, my friend!",1
I disagree... and I guess I'm willing to go to bat for this.,0
"I'm happy to use it as the standard logo (i.e. website, etc.).",1
"I have stupidly deleted the original test dir, but judging from the suite's output files, no output was created after 3 1/2 hours.",0
"I'm not entering bogus reports for the hell of it ;)

Matt",0
Here is quite bad.,0
"bq. OK w/ the latest patch all tests pass for me! Great 
Awesome! :)",1
"i kinda like the black acctually .. but that may largely be due to my prefering the ""fire"" solr logo over the futuristic magnifying glass (the red/orange contrasts nicely with the black/grey.

to my mind, the ""Solr"" ""Sun"" connection has allways been really cool ... ",1
It does not look very useful.,0
This just seems really evil.,0
that's bad Content-Type from gSOAP.,0
I misread.,0
yup sorry just fixed.,0
I will figure out the details and do the port later this week if you don't get to it first.,0
"Sorry folks, the full fix was committed in rather a messy manner due to some platform specific issues.",0
Thanks Doug for the change.,1
Sorry about the confusion before,0
Weird.,0
"Thanks so much, sorry that this isn't in the appropriate place.",0
Please close as this is just me being stupid.,0
"Heh, that's one hell of a bug, 275 bytes exactly, eh?",0
In current version the same error cause different messages because there are many commiters.,0
guys... this is so stupid...,0
Thanks!,1
Thanks Suresh.,1
Awesome! This tool is cool.,1
"Oh, my stupid:)",0
Thank you Jing for the review.,1
"Sorry, my code base is a little old, looks like HADOOP-9147 add some new test in TestFileStatus. ",0
Thank you very much for your effort David.,1
"Thank you, guys!",1
"Thanks, Jing!",1
" We should not invoke the global synced fieldnumbers shit for every element, only when the setting actually changes",0
"Awesome, you rock, Drew!",1
Thanks for the help BJ!,1
Damn it.,0
I must have looked at this before my morning coffee..,0
"@mahadev - I would love to help test a patch :) I'm currently using 3.3.1 + ZOOKEEPER-744 + ZOOKEEPER-790, applied in that order.",1
This is a pretty awful bug.,0
Bug in existing testDelegationTokenRestoredOnRMrestart().,0
"<gmcdonald> , my bad
",0
It is good to have the test.,1
My bad.,0
"Thanks for reminding me; I agree, I'll do it.

",1
"Thanks to both of you, and to Deepesh for the initiative.
",1
HTML is quite uncomfortable to work with.,0
I misunderstood the case and sorry for the confusion.,0
":)

Best regards,
Fabian.",1
tricky shit man! I think I found the issue!,0
First guess: something's getting confused about reversed-ness.,0
"Oh, I'm sorry, I was unclear.",0
"Sorry, this should be YARN JIRA - filed YARN-350 instead",0
"Hi Atul,
that looks good at a first glace.",1
"Sorry for a mess in uploaded files, my connection got broken during first upload.",0
I really appreciate your comments and I really enjoy our discussions:),1
A pleasure :>.,1
"HADOOP-2949:
 - If tarball is specified, HOD no longer validates for the pkgs directory in gridservice-hdfs or mapred sections as these are not going to be used anyway.",0
Both equally bad.,0
"The guy on our team that was going to do this was swamped, so I re-assigned this to you.",0
My bad.,0
Imo all this just doesn't make sense from a pure performance aspect.,0
"Sorry, on holiday last week and just catching up.",0
"I opened [HADOOP-3607] to fix a wrong URL, but appart from that I don't there's still references to the old structure.",0
"if so, can you see if you can git bisect this bad boy?",0
"Thanks Richard,

Patch applied to NIO_CHAR module java.nio.CharsetEncoder at repo revision 389784.",1
":)

I've renamed ComponentColorProperty to be ComponentColorElement and RelationshipAggregation to TwistieAggregation.",1
Thanks senaka for the patch.,1
"
The samples you gave are different.",0
This looks simple and sweet to me.,1
Brain fart.,0
"I abbreviated the heck out of my arguments and thinking, but damn it thats what I think :)",0
"Forgot to mention:

Thanks to Alejandro and his team for pointing this one...",1
Bad IE.,0
"Cool, thanks Daniel, we're actually cool with either updating it to e9ff8c4928 or flipping the write bit and we'll push the delta ourselves - whatever's the fastest to get to writeable:)

Thanks,
--tim",1
"Oh, signed shift!",0
"Cool feature!

Performance:
 - It looks like scripts are read from the resource loader and parsed again (eval) for every update request.",1
This patch really helped.,1
If I get a chance I may even roll it into our dev environment but I am currently in the middle of mem leak hell.,0
"Igor is an idiot, and we *do* need gmake.",0
sorry for misleading attachment name.,0
HOLY SHIT!,0
My bad.,0
Thank you Ravi.,1
"[~shazron]Sorry, that was weird.",0
Thanks Suresh,1
This is pretty trivial.,0
The rest are *totally* unrelated.,0
Will still be stuck in the loop though if can't actually close regions.,0
"The state stuck at ""Allocated state"", It is a dup of 3788.",0
"I'm very busy for the moment so I didn't know when I 'd be able to the change myself, so if you can, your contribution would be one more time really appreciated.",0
Great! It's been good to be able to contribute and I hope to be able to more for this awesome project when I have the spare time.,1
i suck.,0
How bad is it?,0
PreCommit-HDFS-Build is stuck.,0
My bad.,0
Thanks Koji!,1
"I don't know how the hell my diff program decided to add seemingly random CR chars, but I've removed them now.",0
While creating the DerbyTest I did notice that this problem is caused by the Database pool because it tries to connect to the database in the background.,0
"Hell, UnaryFunction might even be faster than all of these calls in a row.
",0
Hudson seems to be stuck on this. ,0
"Thanks for review and test case, Knut.",1
"Sorry to have not spotted this one, and thanks for your care.",0
"That being said, I'm not totally opposed to making the limit configurable.",0
Sorry about the error guys.,0
"Thanks, JinJie!",1
The Async API in http client 4.x really sucks.,0
"The problem is that it builds awt, and that requires some dependencies.",0
The patch looks good.,1
My bad.,0
Sorry about that...,0
Damn maven!,0
Thanks Uwe!,1
Many thanks for your help.,1
Sorry to nag.,0
"Hi Sandy,
Thanks so much to give me such comments, that's really helpful, I will update this later.",1
" I used to be the latter, but then I went to law school and got a degree in this shit. ",0
"It is a nasty bug that I've seen in real life, though.",0
"Yep, my bad.",0
"Thanks, Tom",1
I will try to do more research on it.,0
"sorry, should have been getDataModel not getDataTable.",0
Too bad we can't use position:fixed in IE6.,0
Sorry for the mistake.,0
"Sorry once again for the wrong report,
Stephane",0
"Sorry if this spam's things, however it's unlikely that I'll work on these.",0
"Thanks,
Mayank",1
"Thanks Andrew, committed in rev.",1
Doing it at the hackathon you'd have a few fellas at your shoulder to give you pointers should you get stuck.,0
"Line 1664 (sorry, the 0.94 codeline)",0
This is not what I build a framework for.,0
Sorry for the noise.,0
"durrrh, that sucks.",0
"Great! Awesome!

thanks,
Dims",1
Cool. sounds good to me.,1
This is pretty embarassing!,0
"@Luke, Sorry for the late, attaching latest version patch",0
Sorry to let you lose a wild goose chase.,0
That's pretty unlikely.,0
But please don't say that my reasoning is bad - because it is not.,0
"Sorry, I meant to have this patch in sooner but got quite busy, I expect to have it soon.",0
That's weird.,0
"ahhh sweet, i'm guessing you have an IDE that does this? If the tests pass commit, this kinda crap goes out of date too fast!",1
"Sorry, I guess I'm against ""never computing this shit""... because you guys think returning NaN is ok.
",0
"Sorry about that, fixed now.",0
"Sorry,
I tought I could commit this patch but I did not realize that one of the files is in the framework (and I have not access to it).
",0
"I don't have to ensure that the classloader knows groovy classes, *you* must do that.",0
This is only a problem with exceptions from java.,0
"Unless we switch to Antlr 3.0 ( and even though, I'm not sure this would fix the problem), there is nothing we can do.",0
"Sorry Jacques, I'll upload another file.",0
"If someone wants to take this over, that's cool - I'm unlikely to have time in the next week and a half, though.",0
Sorry.,0
Thanks Tom.,1
Bad memory.,0
"Shit, there is an dependency. Please go to Preferences -> LDAP -> Entry Editor and enable the option ""Show operational attributes"".",0
It really sucks that there is now way currently to include transitive dependencies.,0
"In fact, if you happen to know why ObserverHammerQuorumTest is failing with this latest patch, I'd love to hear.",1
Interesting that you decided not to detect the error based on finding two similarly-named operations.,1
sorry :),0
"And boy, hell broke loose ;)

So... the biggest issue I'm facing is indeed with Random sharing across threads.",0
"Aside from the job succeeding (it doesn't), what effect should I be able to measure (in order to see if this is doing anything)?",0
Git is tricky that way.,0
thanks to Ernst Fastl for adding this.,1
"no, sorry - priorities have been shifted around...",0
"I would love it in 3.3.2, will upload a patch for that version.",1
"Thanks for your comments, Konstantin.",1
"So, sorry I can't be more obliging.",0
Sounds like a good idea. ,1
"Hey Vikram-- sorry about that, I haven't paid much attention to this issue.",0
"In this case, data would pretty much just silently be lost.",0
"Sorry [~kumarr], let's just do this in 0.96.",0
Pull it back in if you think different.,0
Gav...(Hoping I'm not teaching you how to suck eggs :) ),0
How on earth is it buggy?,0
"No, it's not off the table, but it's moot unless we decide we want cqlsh in-tree at all.",0
Bugs like this make me sad.,0
I've just tested the shiro trunk with karaf-2.2 release and everything works fine :),1
Weird.,0
"Keep repeating this and the problem just gets worse.
",0
"Hell, this is gonna take me a lot of work to raise.",0
This is quality work.,1
"Oh, sorry.",0
"Brilliant feedback, thanks! I'm glad you found the issue, and the solution!",1
Thanks Hairong!,1
Thanks Alejandro .,1
"And with a network that
tolerates almost everything to get a mail somehow in the right place, it is only seldom noticed (or when it is, it is blamed on
Microsoft.",0
"http://svn.apache.org/viewvc?view=rev&revision=468444

Deepal,
Thanks!",1
This is awesome!,1
"Juhani..my bad, i was mistaken.",0
Damn time has flown...,0
"It may cause conflicts, but if your intent is to break system security, you probably don't care.",0
"Credit, of course, goes to Dick.",0
Sorry for the trouble Vikram!,0
Sorry for the delay.,0
"Sorry I missed the ""overwrite"" keyword.",0
Sorry about that.,0
"Aaarrggh, how stupid of mine  to have a System.out, again!",0
"Sorry, db name is TPCDB, user name TPC, pwd whatever...",0
" I think the comments here are a bad sign... I sent us down an unfortunate slippery slope

we are a search engine library!

don't put shit in the index directory! or we will delete your shit. dead simple.",0
"And debugging is hell, because the test environment needs to have the exact same loader setup.",0
Thanks a lot Subin.,1
One of the error is that hiddenActivations cannot be resolved.,0
"Cool, looks good.",1
"I just hate having no clue what a file is really depending on ;)
",0
"Thanks, Alexei!",1
What a stupid name I chose for that object... )-:,0
"Sorry for the super-slow uptake on this, the new job is using up all of my limited brain resources. ",0
This looks safe also,1
"Thanks Todd, glad to be on board!",1
This is weird.,0
Thanks Ravi.,1
sorry.,0
"Damn, Chuck is scary.",0
"Not only it's the first one in my life I'm seeing multiple ways of closing the same thing, it also conceals programming errors.",0
Thank you Jing.,1
Looks quite perfect after solving PDFBOX-490.,1
Pull it back in if you think different.,0
"Some file were missing in the last patch, sorry.",0
Unable to reproduce issue.,0
"looks fine, thank you.",1
"Not too bad though, since clearing out commitlog segments is easily done.",0
That sounds like a plan. I love peer-reviews... :-),1
This looks good to me.,1
Pull it back in if you think different.,0
"Sorry, here's the test that reproduces the issue.",0
"Thanks a lot!

",1
"This is pretty trivial, just adds three asserts to TestPath#testNormalize.",0
"cool stuff! a good candidate to put on myfaces-commons-utils, so the user can just add the resource handler on its webapp faces-config.",1
sorry....,0
"Whoops, sorry.",0
